CmteID,Cycle,PACShort,Affiliate,Ultorg,RecipID,RecipCode,FECCandID,Party,PrimCode,Source,Sensitive,Foreign,Active
C00000026,1994,International Chiropractors Assn,,International Chiropractors Assn,C00000026,PB,,,H1500,Name,N,0,1
C00000042,1994,Illinois Tool Works,,Illinois Tool Works,C00000042,PB,,,M2300,S&P94,N,0,1
C00000059,1994,Hallmark Cards,,Hallmark Cards,C00000059,PB,,,C1400,S&P94,N,0,1
C00000182,1994,Democratic Congressional Dinner Cmte,Democratic Congressional Dinner Cmte,Democratic Congressional Dinner Cmte,C00000182,DP,,D,Z4200,Report,N,0,1
C00000372,1994,Maintenance of Way Employees,,Maintenance of Way Employees,C00000372,PL,,,LT400,AFP88,N,0,1
C00000422,1994,American Medical Assn,American Medical Assn,American Medical Assn,C00000422,PB,,,H1100,AFP88,N,0,1
C00000489,1994,Teamsters Local 886,Teamsters Union,Teamsters Union,C00000489,PL,,,LT300,Name,N,0,1
C00000547,1994,Kansas Medical Assn,American Medical Assn,American Medical Assn,C00000547,PB,,,H1100,AFP88,N,0,1
C00000638,1994,Indiana Medical Assn,American Medical Assn,American Medical Assn,C00000638,PB,,,H1100,AFP88,N,0,1
C00000729,1994,American Dental Assn,American Dental Assn,American Dental Assn,C00000729,PB,,,H1400,AFP88,N,0,1
C00000794,1994,New Frontier Leadership PAC,ex-Rep. Norman Lent (R-NY),New Frontier Leadership PAC,C00000794,PI,,R,J2400,WebEC,N,0,1
C00000885,1994,Painters & Allied Trades Union,Painters & Allied Trades Union,Painters & Allied Trades Union,C00000885,PL,,,LB100,AFP88,N,0,1
C00000901,1994,National Assn of Home Builders,National Assn of Home Builders,National Assn of Home Builders,C00000901,PB,,,B2000,AFP88,Y,0,1
C00000984,1994,US Telephone Assn,,US Telephone Assn,C00000984,PB,,,C4100,Phone,N,0,1
C00001008,1994,Louisiana Medical Society,American Medical Assn,American Medical Assn,C00001008,PB,,,H1100,WebEC,N,0,1
C00001016,1994,Carpenters & Joiners Union,Carpenters & Joiners Union,Carpenters & Joiners Union,C00001016,PL,,,LB100,AFP/Phone,N,0,1
C00001099,1994,Teamsters Local 42,Teamsters Union,Teamsters Union,C00001099,PL,,,LT300,AFP90,N,0,1
C00001198,1994,American Hotel & Motel Assn,,American Hotel & Motel Assn,C00001198,PB,,,T9100,AFP88,N,0,1
C00001214,1994,Texas Medical Assn,American Medical Assn,American Medical Assn,C00001214,PB,,,H1100,AFP88,N,0,1
C00001248,1994,Leadership Council,ex-Rep. R. Lawrence Coughlin (R-PA),Leadership Council,C00001248,PI,,R,J2400,AFP96,N,0,1
C00001289,1994,Unocal Corp,,Unocal Corp,C00001289,PB,,,E1110,S&P94,Y,0,1
C00001354,1994,Independent Medicine's PAC-TN,American Medical Assn,American Medical Assn,C00001354,PB,,,H1100,Name,N,0,1
C00001388,1994,Mid-America Dairymen,,Mid-America Dairymen,C00001388,PB,,,A2000,AFP88,N,0,1
C00001420,1994,Missouri Medical Assn,American Medical Assn,American Medical Assn,C00001420,PB,,,H1100,AFP88,N,0,1
C00001461,1994,Alaska Medical Assn,American Medical Assn,American Medical Assn,C00001461,PB,,,H1100,AFP88,N,0,1
C00001594,1994,Associated Milk Producers,,Associated Milk Producers,C00001594,PB,,,A2000,AFP88,N,0,1
C00001636,1994,United Transportation Union,United Transportation Union,United Transportation Union,C00001636,PL,,,LT000,WebEC,N,0,1
C00001685,1994,Georgia Medical Assn,American Medical Assn,American Medical Assn,C00001685,PB,,,H1100,Name,N,0,1
C00001727,1994,Business Industry PAC,,Business Industry PAC,C00001727,PB,,,G1300,AFP88,N,0,1
C00001776,1994,New Mexico Medical Assn,American Medical Assn,American Medical Assn,C00001776,PB,,,H1100,AFP88,N,0,1
C00001818,1994,Washington Medical Assn,American Medical Assn,American Medical Assn,C00001818,PB,,,H1100,Name,N,0,1
C00001875,1994,Savings & Community Bankers of America,Savings & Community Bankers of America,Savings & Community Bankers of America,C00001875,PB,,,F1200,AFP90,N,0,1
C00001966,1994,Fund for a Conservative Majority,,Fund for a Conservative Majority,C00001966,PI,,,J1100,AFP88,N,0,1
C00002022,1994,Marine Engineers Beneficial Assn/NMU 1,Marine Engineers Beneficial Assn,Marine Engineers Beneficial Assn,C00002022,PL,,,LT500,AFP88,N,0,1
C00002089,1994,Communications Workers of America,Communications Workers of America,Communications Workers of America,C00002089,PL,,,LC100,Phone,N,0,1
C00002147,1994,Nebraska Medical Assn,American Medical Assn,American Medical Assn,C00002147,PB,,,H1100,Name,N,0,1
C00002238,1994,National Council of Farmer Co-ops,,National Council of Farmer Co-ops,C00002238,PB,,,A6000,Phone,N,0,1
C00002261,1994,Federation of American Health Systems,,Federation of American Health Systems,C00002261,PB,,,H2100,AFP88,N,0,1
C00002394,1994,United Paperworkers,,United Paperworkers,C00002394,PL,,,LM100,AFP88,N,0,1
C00002469,1994,Machinists/Aerospace Workers Union,Machinists/Aerospace Workers Union,Machinists/Aerospace Workers Union,C00002469,PL,,,LM100,Phone,N,0,1
C00002766,1994,United Food & Commercial Workers Union,United Food & Commercial Workers Union,United Food & Commercial Workers Union,C00002766,PL,,,LG100,AFP88,N,0,1
C00002790,1994,Olin Corp,,Olin Corp,C00002790,PB,,,M1000,S&P94,Y,0,1
C00002881,1994,American Trucking Assns,,American Trucking Assns,C00002881,PB,,,T3100,AFP88,N,0,1
C00002956,1994,Association for the Advancement of Psychology,,Association for the Advancement of Psychology,C00002956,PB,,,H1110,Name,N,0,1
C00002972,1994,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,C00002972,PB,,,E1610,AFP88,N,0,1
C00003053,1994,Bay State Physicians PAC-MA,,Bay State Physicians PAC-MA,C00003053,PB,,,H1100,Name,N,0,1
C00003160,1994,AFL-CIO Bldg/Construction Trades Dept,AFL-CIO,AFL-CIO,C00003160,PL,,,LB100,AFP88,N,0,1
C00003178,1994,Minnesota Medical Assn,American Medical Assn,American Medical Assn,C00003178,PB,,,H1100,Name,N,0,1
C00003194,1994,California Medical Assn,American Medical Assn,American Medical Assn,C00003194,PB,,,H1100,Name,N,0,1
C00003251,1994,National Education Assn,National Education Assn,National Education Assn,C00003251,PL,,,L1300,AFP88,N,0,1
C00003327,1994,Ohio Medical Assn,American Medical Assn,American Medical Assn,C00003327,PB,,,H1100,Name,N,0,1
C00003459,1994,California League of Savings Insts,Savings & Community Bankers of America,Savings & Community Bankers of America,C00003459,PB,,,F1200,AFP90,N,0,1
C00003475,1994,South Carolina Medical Assn,American Medical Assn,American Medical Assn,C00003475,PB,,,H1100,Name,N,0,1
C00003558,1994,National Cmte for an Effective Congress,,National Cmte for an Effective Congress,C00003558,PI,,,J1200,AFP88,N,0,1
C00003590,1994,United Steelworkers of America,United Steelworkers of America,United Steelworkers of America,C00003590,PL,,,LM100,AFP88,N,0,1
C00003632,1994,Bricklayers Union,Bricklayers Union,Bricklayers Union,C00003632,PL,,,LB100,AFP88,N,0,1
C00003756,1994,National Food Processors Assn,,National Food Processors Assn,C00003756,PB,,,G2100,Phone,N,0,1
C00003764,1994,National Restaurant Assn,National Restaurant Assn,National Restaurant Assn,C00003764,PB,,,G2900,AFP88,N,0,1
C00003772,1994,Dairymen Inc,Dairymen Inc,Dairymen Inc,C00003772,PB,,,A2000,AFP88,N,0,1
C00003806,1994,AFL-CIO,AFL-CIO,AFL-CIO,C00003806,PL,,,L0000,AFP88,Y,0,1
C00003830,1994,Chemical Bank,Chemical Bank,Chemical Bank,C00003830,PB,,,F1100,S&P94,N,0,1
C00003855,1994,National Confectioners Assn,,National Confectioners Assn,C00003855,PB,,,G2200,NTPA89,N,0,1
C00003863,1994,Marine Engineers Retirees Group Fund,Marine Engineers Beneficial Assn,Marine Engineers Beneficial Assn,C00003863,PL,,,LT500,Name,N,0,1
C00003921,1994,Medical Society of DC,American Medical Assn,American Medical Assn,C00003921,PB,,,H1100,Name,N,0,1
C00003970,1994,Iowa Medical Society,American Medical Assn,American Medical Assn,C00003970,PB,,,H1100,Name,N,0,1
C00004010,1994,Ohio Savings Assns League,Savings & Community Bankers of America,Savings & Community Bankers of America,C00004010,PB,,,F1200,AFP90,N,0,1
C00004036,1994,Service Employees International Union,Service Employees International Union,Service Employees International Union,C00004036,PL,,,LG300,AFP88,N,0,1
C00004101,1994,National Utility Contractors Assn,,National Utility Contractors Assn,C00004101,PB,,,B1000,AFP88,N,0,1
C00004275,1994,American Bankers Assn,American Bankers Assn,American Bankers Assn,C00004275,PB,,,F1100,AFP88,N,0,1
C00004283,1994,Rubber Cork Linoleum & Plastic Workers,,Rubber Cork Linoleum & Plastic Workers,C00004283,PL,,,LM100,AFP88,N,0,1
C00004325,1994,Seafarers International Union,Seafarers International Union,Seafarers International Union,C00004325,PL,,,LT500,AFP88,N,0,1
C00004440,1994,Teamsters Local 745,Teamsters Union,Teamsters Union,C00004440,PL,,,LT300,AFP90,N,0,1
C00004473,1994,National Telephone Cooperative Assn,,National Telephone Cooperative Assn,C00004473,PB,,,C4100,NTPA89,N,0,1
C00004515,1994,Hotel/Restaurant Employees Intl Union,,Hotel/Restaurant Employees Intl Union,C00004515,PL,,,LG100,AnRpt88,N,0,1
C00004804,1994,Mississippi Medical Assn,American Medical Assn,American Medical Assn,C00004804,PB,,,H1100,Name,N,0,1
C00004812,1994,Mortgage Bankers Assn of America,Mortgage Bankers Assn of America,Mortgage Bankers Assn of America,C00004812,PB,,,F4600,AFP88,N,0,1
C00004861,1994,Intl Ladies Garment Workers Union,Intl Ladies Garment Workers Union,Intl Ladies Garment Workers Union,C00004861,PL,,,LM100,AFP88,N,0,1
C00004879,1994,American Bus Assn,,American Bus Assn,C00004879,PB,,,T4100,Name,N,0,1
C00004952,1994,Mississippi ACRE,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,C00004952,PB,,,E1610,AFP88,N,0,1
C00004960,1994,Burlington Resources,,Burlington Resources,C00004960,PB,,,E1120,S&P94,Y,0,1
C00004994,1994,National Assn of Prof Insurance Agents,,National Assn of Prof Insurance Agents,C00004994,PB,,,F3100,AFP88,N,0,1
C00005132,1994,South Dakota Medical Assn,American Medical Assn,American Medical Assn,C00005132,PB,,,H1100,Name,N,0,1
C00005157,1994,Boilermakers Union,Boilermakers Union,Boilermakers Union,C00005157,PL,,,LM100,Name,Y,0,1
C00005249,1994,National Assn of Life Underwriters,,National Assn of Life Underwriters,C00005249,PB,,,F3300,AFP,N,0,1
C00005488,1994,Illinois Medical Assn,American Medical Assn,American Medical Assn,C00005488,PB,,,H1100,AFP88,N,0,1
C00005660,1994,American Assn/Oral & Maxillofacial Surg,,American Assn/Oral & Maxillofacial Surg,C00005660,PB,,,H1400,AFP88,N,0,1
C00005728,1994,Clothing & Textile Workers Union,Clothing & Textile Workers Union,Clothing & Textile Workers Union,C00005728,PL,,,LM100,AFP88,N,0,1
C00005751,1994,California Dental Assn,American Dental Assn,American Dental Assn,C00005751,PB,,,H1400,AFP90,N,0,1
C00005819,1994,United Republican Fund of Illinois,,United Republican Fund of Illinois,C00005819,PI,,,J1100,Name,N,0,1
C00006080,1994,American Health Care Assn,American Health Care Assn,American Health Care Assn,C00006080,PB,,,H2200,AFP88,N,0,1
C00006247,1994,Electronic Machine Furniture Workers,Communications Workers of America,Communications Workers of America,C00006247,PL,,,LC100,AFP88,Y,0,1
C00006296,1994,Empire Dental PAC,American Dental Assn,American Dental Assn,C00006296,PB,,,H1400,Name,N,0,1
C00006338,1994,Transportation Communications Union,,Transportation Communications Union,C00006338,PL,,,LT600,WebEC,N,0,1
C00007047,1994,First Nationwide Bank,,First Nationwide Bank,C00007047,PB,,,F1000,WebGT,N,0,1
C00007070,1994,Texas Instruments,,Texas Instruments,C00007070,PB,,,C5110,S&P94,Y,0,1
C00007328,1994,Carpenters Union/Southern California,Carpenters & Joiners Union,Carpenters & Joiners Union,C00007328,PL,,,LB100,Name,N,0,1
C00007427,1994,SeaFirst Bank,BankAmerica,BankAmerica,C00007427,PB,,,F1100,S&P94,N,0,1
C00007450,1994,American Gas Assn,,American Gas Assn,C00007450,PB,,,E1140,AFP88,N,0,1
C00007484,1994,Florida Medical Assn,American Medical Assn,American Medical Assn,C00007484,PB,,,H1100,AFP88,N,0,1
C00007542,1994,Sheet Metal Workers Union,Sheet Metal Workers Union,Sheet Metal Workers Union,C00007542,PL,,,LB100,AFP88,N,0,1
C00007831,1994,CSX Transportation,CSX Corp,CSX Corp,C00007831,PB,,,T5100,S&P94,Y,0,1
C00007849,1994,Speak Up for Rural Electrification,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,C00007849,PB,,,E1610,Name,N,0,1
C00007880,1994,Credit Union National Assn,Credit Union National Assn,Credit Union National Assn,C00007880,PB,,,F1300,AFP88,N,0,1
C00007898,1994,Office & Professional Employees Union,Office & Professional Employees Union,Office & Professional Employees Union,C00007898,PL,,,L5000,Name,N,0,1
C00007922,1994,Laborers Union,Laborers Union,Laborers Union,C00007922,PL,,,LB100,AFP88,N,0,1
C00007948,1994,Weyerhaeuser Co,Weyerhaeuser Co,Weyerhaeuser Co,C00007948,PB,,,A5200,S&P94,Y,0,1
C00008078,1994,Teamsters Union/Ohio,Teamsters Union,Teamsters Union,C00008078,PL,,,LT300,Name,N,0,1
C00008151,1994,First Tennessee National Corp,,First Tennessee National Corp,C00008151,PB,,,F1100,S&P94,N,0,1
C00008169,1994,Missouri ACRE,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,C00008169,PB,,,E1610,AFP88,N,0,1
C00008268,1994,Transport Workers Union,Transport Workers Union,Transport Workers Union,C00008268,PL,,,LT600,AFP88,N,0,1
C00008425,1994,Weyerhaeuser Co,Weyerhaeuser Co,Weyerhaeuser Co,C00008425,PB,,,A5200,S&P94,Y,0,1
C00008474,1994,Smith Barney,Travelers Group,Travelers Group,C00008474,PB,,,F2100,S&P94,N,0,1
C00008839,1994,American Podiatry Assn,,American Podiatry Assn,C00008839,PB,,,H1130,AFP88,N,0,1
C00008953,1994,LTV Corp,LTV Corp,LTV Corp,C00008953,PB,,,M2100,S&P94,Y,0,1
C00009035,1994,Kemper Insurance,Kemper Corp,Kemper Corp,C00009035,PB,,,F3100,S&P94,N,0,1
C00009282,1994,Norfolk Southern,Norfolk Southern,Norfolk Southern,C00009282,PB,,,T5100,S&P94,Y,0,1
C00009357,1994,Recording Industry Assn of America,,Recording Industry Assn of America,C00009357,PB,,,C2600,NTPA89,N,0,1
C00009423,1994,Land O'Lakes,,Land O'Lakes,C00009423,PB,,,A2000,S&P94,Y,0,1
C00009597,1994,National Council of Coal Lessors,,National Council of Coal Lessors,C00009597,PB,,,E1210,NTPA89,N,0,1
C00009639,1994,Trust Co of Georgia,SunTrust Banks,SunTrust Banks,C00009639,PB,,,F1100,S&P94,N,0,1
C00009704,1994,Conservative Victory Fund,Conservative Victory Fund,Conservative Victory Fund,C00009704,PI,,R,J2400,Nexis,N,0,1
C00009761,1994,Tobacco Institute,,Tobacco Institute,C00009761,PB,,,A1300,AFP88,N,0,1
C00009795,1994,Greater Washington Board of Trade,,Greater Washington Board of Trade,C00009795,PB,,,G1100,Phone,N,0,1
C00009902,1994,Santa Fe Southern Pacific,Santa Fe Pacific Corp,Santa Fe Pacific Corp,C00009902,PB,,,T5100,S&P94,N,0,1
C00009910,1994,Southern Pacific Transportation Co,,Southern Pacific Transportation Co,C00009910,PB,,,T5100,S&P94,N,0,1
C00009928,1994,SmithKline Beecham,,SmithKline Beecham,C00009928,PB,,,H4300,S&P94,Y,1,1
C00009936,1994,American Federation of Government Employees,American Federation of Government Employees,American Federation of Government Employees,C00009936,PL,,,L1100,AFP88,N,0,1
C00009985,1994,National Assn of Broadcasters,,National Assn of Broadcasters,C00009985,PB,,,C2100,AFP88,N,0,1
C00010082,1994,National Cable Television Assn,,National Cable Television Assn,C00010082,PB,,,C2200,AFP88,N,0,1
C00010124,1994,Associated Equipment Distributors,,Associated Equipment Distributors,C00010124,PB,,,B6000,Phone,Y,0,1
C00010322,1994,American Postal Workers Union,American Postal Workers Union,American Postal Workers Union,C00010322,PL,,,L1500,AFP88,N,0,1
C00010363,1994,Conservative Leadership PAC,,Conservative Leadership PAC,C00010363,PI,,,J1100,Nexis,N,0,1
C00010421,1994,Associated Builders & Contractors,,Associated Builders & Contractors,C00010421,PB,,,B0500,NTPA89,Y,0,1
C00010470,1994,Union Pacific Corp,,Union Pacific Corp,C00010470,PB,,,T5100,S&P94,Y,0,1
C00010488,1994,Women for:,,Women for:,C00010488,PI,,,J7400,Phone,Y,0,1
C00010520,1994,Meredith Corp,,Meredith Corp,C00010520,PB,,,C1100,S&P94,Y,0,1
C00010561,1994,Kansas ACRE,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,C00010561,PB,,,E1610,Name,N,0,1
C00010793,1994,Loose Group,,Loose Group,C00010793,PI,,,J1100,Phone,N,0,1
C00010868,1994,American Consulting Engineers Council,,American Consulting Engineers Council,C00010868,PB,,,B4000,AFP88,Y,0,1
C00010876,1994,Teamsters Local 115,Teamsters Union,Teamsters Union,C00010876,PL,,,LT300,Name,N,0,1
C00010967,1994,CNG Transmission Corp,Consolidated Natural Gas,Consolidated Natural Gas,C00010967,PB,,,E1140,S&P94,N,0,1
C00010983,1994,Johnson & Johnson,,Johnson & Johnson,C00010983,PB,,,H4000,Hvr04,Y,0,1
C00011114,1994,American Federation of State/Cnty/Munic Employees,American Federation of State/Cnty/Munic Employees,American Federation of State/Cnty/Munic Employees,C00011114,PL,,,L1200,AFP88,N,0,1
C00011189,1994,Glass Molders Pottery Plastics Workers,,Glass Molders Pottery Plastics Workers,C00011189,PL,,,LM100,Phone,N,0,1
C00011221,1994,New Jersey Savings League,Savings & Community Bankers of America,Savings & Community Bankers of America,C00011221,PB,,,F1200,AFP88,N,0,1
C00011262,1994,Brotherhood of Railroad Signalmen,,Brotherhood of Railroad Signalmen,C00011262,PL,,,LT400,AFP88,N,0,1
C00011338,1994,Sailors Union of the Pacific,Seafarers International Union,Seafarers International Union,C00011338,PL,,,LT500,AFP88,N,0,1
C00011387,1994,Colorado ACRE,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,C00011387,PB,,,E1610,AFP88,N,0,1
C00011544,1994,Ohio Dental Assn,American Dental Assn,American Dental Assn,C00011544,PB,,,H1400,AFP88,N,0,1
C00011627,1994,Minnesota Bankers Assn,American Bankers Assn,American Bankers Assn,C00011627,PB,,,F1100,,N,0,1
C00011718,1994,Wachovia Bank of Georgia,Wachovia Corp,Wachovia Corp,C00011718,PB,,,F1100,Duns,N,0,1
C00011783,1994,United Farm Workers of America,,United Farm Workers of America,C00011783,PL,,,LA100,Name,N,0,1
C00011874,1994,American Business Press,,American Business Press,C00011874,PB,,,C1100,Name,N,0,1
C00012021,1994,S&A Restaurant Corp,,S&A Restaurant Corp,C00012021,PB,,,G2900,S&P94,N,0,1
C00012245,1994,PaineWebber,,PaineWebber,C00012245,PB,,,F2100,S&P94,N,0,1
C00012310,1994,Black & Veatch,,Black & Veatch,C00012310,PB,,,B4000,S&P94,N,0,1
C00012328,1994,Florida Sugar Cane League,Florida Sugar Cane League,Florida Sugar Cane League,C00012328,PB,,,A1200,AFP88,N,0,1
C00012401,1994,California League of Conservation Voters,League of Conservation Voters,League of Conservation Voters,C00012401,PI,,,JE300,Name,N,0,1
C00012468,1994,Coca-Cola Co,Coca-Cola Co,Coca-Cola Co,C00012468,PB,,,G2600,S&P94,Y,0,1
